#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
144,0.277797213086793,-6.70795564326129,0.960187608863365,-98.4381129311898,0.959876688578632,-98.4307862614288,0.277553652629237,-5.99421763064551
145,0.266466458652254,-16.0895581762324,0.963436158097553,-107.988632448908,0.963125021548494,-107.981831468735,0.266219094894346,-15.3481037267705
146,0.25360487146524,-25.5686658581717,0.96694618072924,-117.604302319838,0.96663255427654,-117.59795412411,0.253360242808489,-24.7931697771345
147,0.23907654753133,-35.1585404215145,0.970686824916299,-127.293772440694,0.970368704212547,-127.287776654187,0.238841237974381,-34.3407035382243
148,0.222734839574877,-44.8738777110989,0.974613617829725,-137.066683387215,0.974289375419134,-137.060915059539,0.222515333131241,-44.0024924385565
149,0.204419028699791,-54.7315956780385,0.978666049868341,-146.933827724517,0.978334541635978,-146.928141457266,0.204221539737096,-53.7909400267621
150,0.18394999942417,-64.7523055034933,0.982764453476471,-156.907370399742,0.982425120532434,-156.9016056862,0.183780264145253,-63.7191973313963
151,0.161124702614358,-74.9633483492383,0.986805811185521,-167.001146750828,0.986458773635006,-166.995134473727,0.160987697489385,-73.8012640712308
152,0.135709206040976,-85.4059956917238,0.99065795034676,-177.231060758593,0.990304089310415,-177.224630781162,0.135608701013461,-84.0518955030173
153,0.10743029293981,-96.1561833659099,0.994151325984847,172.384389326539,0.993792350315276,172.391399557554,0.10736793603032,-94.4856653021849
154,0.0759664724530313,-107.40469586452,0.997067226301891,161.823426534674,0.996705719957126,161.831162355892,0.075939068780849,-105.111890072313
155,0.0409474340877946,-119.993516964711,0.999120716953344,151.060117746272,0.998760162446561,151.068696594525,0.0409321374493807,-115.896656143675
156,0.00313466909634479,176.651255731486,0.999935928806593,140.063271383499,0.999580699323036,140.072770806431,0.00188798327415071,-121.61011311417
157,0.0420256853925442,44.5013911359827,0.999010373561815,128.79509276722,0.998665681146457,128.805536721262,0.0417803879895305,40.926124768635
158,0.0909529409853771,30.7592054319489,0.995663929996246,117.209621221831,0.995335706658837,117.220964012268,0.0907049884030469,29.2354408319968
159,0.145930726379651,17.901197473575,0.988967370285011,105.251071099153,0.988662040705671,105.263178193852,0.145657067093766,17.0464147766089
160,0.207767904980668,4.88639628789954,0.97764594197272,92.8524085402062,0.977370018869992,92.8650337390848,0.207470416812506,4.36509115832257
161,0.277284667794235,-8.55153469128223,0.959958445776923,79.9349108292559,0.959717845979175,79.9476705277726,0.276972848954476,-8.87249933338663
162,0.355124778255983,-22.5628495596822,0.933567599155003,66.4102093901835,0.933366562889292,66.422558100758,0.354813090891182,-22.7503343703754
163,0.441428807127286,-37.2666005211634,0.895454045251441,52.1875214748846,0.895293610401201,52.1987401454677,0.441135442593523,-37.3595071743696
164,0.53530561748824,-52.758289111975,0.841995915611763,37.1902653431765,0.841872190357129,37.1994864317959,0.535050459035879,-52.7817715925523
165,0.634131887780516,-69.0899100866286,0.769428432320662,21.3870087387581,0.769331569918731,21.3933153020314,0.633932621560281,-69.061556747803
166,0.732940022275163,-86.232740782585,0.674923283798323,4.83936370102669,0.674838889503235,4.84199536787374,0.732806448652676,-86.1654804356925
167,0.824494869645332,-104.036953180553,0.558266133926676,-12.2371447378311,0.558180630890475,-12.238502269984,0.824423792305174,-103.940435030617
